X,Y,V
5844,0,11.681
5844,0.001,11.632
5844,0.002,11.583
5844,0.003,11.533
5844,0.004,11.484
5844,0.005,11.434
5844,0.006,11.385
5844,0.007,11.335
5844,0.008,11.286
5844,0.009,11.236
5844,0.01,11.187
5844,0.011,11.137
5844,0.012,11.124
5844,0.013,11.155
5844,0.014,11.186
5844,0.015,11.217
5844,0.016,11.249
5844,0.017,11.28
5844,0.018,11.311
5844,0.019,11.342
5844,0.02,11.374
5844,0.021,11.401
5844,0.022,11.412
5844,0.023,11.423
5844,0.024,11.434
5844,0.025,11.445
5844,0.026,11.456
5844,0.027,11.467
5844,0.028,11.478
5844,0.029,11.489
5844,0.03,11.5
5844,0.031,11.511
5844,0.032,11.522
5844,0.033,11.521
5844,0.034,11.512
5844,0.035,11.504
5844,0.036,11.496
5844,0.037,11.487
5844,0.038,11.479
5844,0.039,11.47
5844,0.04,11.462
5844,0.041,11.454
5844,0.042,11.453
5844,0.043,11.466
5844,0.044,11.478
5844,0.045,11.491
5844,0.046,11.503
5844,0.047,11.516
5844,0.048,11.528
5844,0.049,11.541
5844,0.05,11.553
5844,0.051,11.566
5844,0.052,11.578
5844,0.053,11.591
5844,0.054,11.587
5844,0.055,11.579
5844,0.056,11.572
5844,0.057,11.564
5844,0.058,11.556
5844,0.059,11.549
5844,0.06,11.541
5844,0.061,11.534
5844,0.062,11.526
5844,0.063,11.535
5844,0.064,11.557
5844,0.065,11.579
5844,0.066,11.601
5844,0.067,11.623
5844,0.068,11.645
5844,0.069,11.667
5844,0.07,11.689
5844,0.071,11.71
5844,0.072,11.732
5844,0.073,11.754
5844,0.074,11.776
5844,0.075,11.764
5844,0.076,11.753
5844,0.077,11.742
5844,0.078,11.731
5844,0.079,11.719
5844,0.08,11.708
5844,0.081,11.697
5844,0.082,11.685
5844,0.083,11.674
5844,0.084,11.666
5844,0.085,11.658
5844,0.086,11.651
5844,0.087,11.643
5844,0.088,11.636
5844,0.089,11.629
5844,0.09,11.621
5844,0.091,11.614
5844,0.092,11.606
5844,0.093,11.599
5844,0.094,11.592
5844,0.095,11.584
5844,0.096,11.577
5844,0.097,11.569
5844,0.098,11.562
5844,0.099,11.555
5844,0.1,11.547
5844,0.101,11.54
5844,0.102,11.535
5844,0.103,11.538
5844,0.104,11.542
5844,0.105,11.545
5844,0.106,11.549
5844,0.107,11.552
5844,0.108,11.556
5844,0.109,11.559
5844,0.11,11.562
5844,0.111,11.566
5844,0.112,11.569
5844,0.113,11.573
5844,0.114,11.576
5844,0.115,11.58
5844,0.116,11.583
5844,0.117,11.586
5844,0.118,11.59
5844,0.119,11.593
5844,0.12,11.597
5844,0.121,11.6
5844,0.122,11.604
5844,0.123,11.607
5844,0.124,11.611
5844,0.125,11.614
5844,0.126,11.617
5844,0.127,11.621
5844,0.128,11.624
5844,0.129,11.628
5844,0.13,11.631
5844,0.131,11.635
5844,0.132,11.638
5844,0.133,11.641
5844,0.134,11.645
5844,0.135,11.648
5844,0.136,11.652
5844,0.137,11.655
5844,0.138,11.659
5844,0.139,11.662
5844,0.14,11.666
5844,0.141,11.669
5844,0.142,11.672
5844,0.143,11.676
5844,0.144,11.679
5844,0.145,11.683
5844,0.146,11.686
5844,0.147,11.69
5844,0.148,11.693
5844,0.149,11.689
5844,0.15,11.684
5844,0.151,11.68
5844,0.152,11.675
5844,0.153,11.67
5844,0.154,11.666
5844,0.155,11.661
5844,0.156,11.657
5844,0.157,11.652
5844,0.158,11.647
5844,0.159,11.643
5844,0.16,11.638
5844,0.161,11.634
5844,0.162,11.629
5844,0.163,11.624
5844,0.164,11.62
5844,0.165,11.615
5844,0.166,11.611
5844,0.167,11.606
5844,0.168,11.603
5844,0.169,11.599
5844,0.17,11.595
5844,0.171,11.592
5844,0.172,11.588
5844,0.173,11.584
5844,0.174,11.58
5844,0.175,11.577
5844,0.176,11.574
5844,0.177,11.572
5844,0.178,11.571
5844,0.179,11.57
5844,0.18,11.569
5844,0.181,11.568
5844,0.182,11.567
5844,0.183,11.565
5844,0.184,11.564
5844,0.185,11.563
5844,0.186,11.566
5844,0.187,11.569
5844,0.188,11.573
5844,0.189,11.576
5844,0.19,11.579
5844,0.191,11.582
5844,0.192,11.586
