X,Y,V
731,0,10.67
731,0.001,10.674
731,0.002,10.678
731,0.003,10.682
731,0.004,10.686
731,0.005,10.69
731,0.006,10.694
731,0.007,10.698
731,0.008,10.702
731,0.009,10.707
731,0.01,10.711
731,0.011,10.715
731,0.012,10.719
731,0.013,10.723
731,0.014,10.727
731,0.015,10.731
731,0.016,10.735
731,0.017,10.739
731,0.018,10.743
731,0.019,10.747
731,0.02,10.752
731,0.021,10.756
731,0.022,10.76
731,0.023,10.764
731,0.024,10.768
731,0.025,10.772
731,0.026,10.776
731,0.027,10.78
731,0.028,10.784
731,0.029,10.788
731,0.03,10.793
731,0.031,10.797
731,0.032,10.801
731,0.033,10.805
731,0.034,10.809
731,0.035,10.813
731,0.036,10.817
731,0.037,10.821
731,0.038,10.825
731,0.039,10.829
731,0.04,10.834
731,0.041,10.838
731,0.042,10.842
731,0.043,10.846
731,0.044,10.85
731,0.045,10.854
731,0.046,10.858
731,0.047,10.862
731,0.048,10.866
731,0.049,10.87
731,0.05,10.874
731,0.051,10.879
731,0.052,10.883
731,0.053,10.887
731,0.054,10.891
731,0.055,10.895
731,0.056,10.899
731,0.057,10.903
731,0.058,10.907
731,0.059,10.911
731,0.06,10.915
731,0.061,10.92
731,0.062,10.924
731,0.063,10.928
731,0.064,10.932
731,0.065,10.936
731,0.066,10.94
731,0.067,10.944
731,0.068,10.948
731,0.069,10.952
731,0.07,10.956
731,0.071,10.96
731,0.072,10.965
731,0.073,10.969
731,0.074,10.973
731,0.075,10.977
731,0.076,10.981
731,0.077,10.985
731,0.078,10.989
731,0.079,10.993
731,0.08,10.997
731,0.081,11.001
731,0.082,11.006
731,0.083,11.01
731,0.084,11.014
731,0.085,11.018
731,0.086,11.022
731,0.087,11.026
731,0.088,11.03
731,0.089,11.034
731,0.09,11.038
731,0.091,11.042
731,0.092,11.047
731,0.093,11.051
731,0.094,11.055
731,0.095,11.059
731,0.096,11.063
731,0.097,11.067
731,0.098,11.071
731,0.099,11.075
731,0.1,11.079
731,0.101,11.083
731,0.102,11.087
731,0.103,11.092
731,0.104,11.096
731,0.105,11.1
731,0.106,11.104
731,0.107,11.108
731,0.108,11.112
731,0.109,11.116
731,0.11,11.12
731,0.111,11.124
731,0.112,11.128
731,0.113,11.133
731,0.114,11.137
731,0.115,11.141
731,0.116,11.145
731,0.117,11.149
731,0.118,11.153
731,0.119,11.157
731,0.12,11.161
731,0.121,11.165
731,0.122,11.169
731,0.123,11.174
731,0.124,11.178
731,0.125,11.182
731,0.126,11.186
731,0.127,11.19
731,0.128,11.194
731,0.129,11.19
731,0.13,11.147
731,0.131,11.105
731,0.132,11.063
731,0.133,11.02
731,0.134,10.978
731,0.135,10.936
731,0.136,10.894
731,0.137,10.851
731,0.138,10.809
731,0.139,10.767
731,0.14,10.724
731,0.141,10.682
731,0.142,10.64
731,0.143,10.634
731,0.144,10.63
731,0.145,10.626
731,0.146,10.623
731,0.147,10.619
731,0.148,10.615
731,0.149,10.611
731,0.15,10.608
731,0.151,10.604
731,0.152,10.6
731,0.153,10.597
731,0.154,10.593
731,0.155,10.589
731,0.156,10.589
731,0.157,10.591
731,0.158,10.593
731,0.159,10.594
731,0.16,10.596
731,0.161,10.597
731,0.162,10.599
731,0.163,10.6
731,0.164,10.602
731,0.165,10.603
731,0.166,10.605
731,0.167,10.607
731,0.168,10.608
731,0.169,10.613
731,0.17,10.621
731,0.171,10.629
731,0.172,10.637
731,0.173,10.645
731,0.174,10.654
731,0.175,10.662
731,0.176,10.67
731,0.177,10.678
731,0.178,10.686
731,0.179,10.694
731,0.18,10.703
731,0.181,10.711
731,0.182,10.718
731,0.183,10.722
731,0.184,10.726
731,0.185,10.73
731,0.186,10.734
731,0.187,10.737
731,0.188,10.741
731,0.189,10.745
731,0.19,10.749
731,0.191,10.753
731,0.192,10.757
731,0.193,10.761
731,0.194,10.765
731,0.195,10.769
731,0.196,10.772
731,0.197,10.776
731,0.198,10.779
731,0.199,10.783
731,0.2,10.786
731,0.201,10.79
731,0.202,10.793
731,0.203,10.797
731,0.204,10.8
731,0.205,10.804
731,0.206,10.807
731,0.207,10.811
731,0.208,10.814
731,0.209,10.817
731,0.21,10.82
731,0.211,10.823
731,0.212,10.826
731,0.213,10.829
731,0.214,10.831
731,0.215,10.834
731,0.216,10.837
731,0.217,10.84
731,0.218,10.843
731,0.219,10.845
731,0.22,10.848
731,0.221,10.851
731,0.222,10.854
731,0.223,10.858
731,0.224,10.861
731,0.225,10.865
731,0.226,10.869
731,0.227,10.872
731,0.228,10.876
731,0.229,10.88
731,0.23,10.883
731,0.231,10.887
731,0.232,10.891
731,0.233,10.894
731,0.234,10.898
731,0.235,10.901
731,0.236,10.903
731,0.237,10.904
731,0.238,10.906
731,0.239,10.907
731,0.24,10.909
731,0.241,10.911
731,0.242,10.912
731,0.243,10.914
731,0.244,10.915
731,0.245,10.917
731,0.246,10.918
731,0.247,10.92
731,0.248,10.922
731,0.249,10.924
731,0.25,10.926
731,0.251,10.929
731,0.252,10.931
731,0.253,10.934
731,0.254,10.936
731,0.255,10.938
731,0.256,10.941
731,0.257,10.943
731,0.258,10.946
731,0.259,10.948
731,0.26,10.95
731,0.261,10.953
731,0.262,10.954
731,0.263,10.956
731,0.264,10.957
731,0.265,10.959
731,0.266,10.96
731,0.267,10.962
731,0.268,10.963
731,0.269,10.965
731,0.27,10.966
731,0.271,10.967
731,0.272,10.969
731,0.273,10.97
731,0.274,10.972
731,0.275,10.974
731,0.276,10.979
731,0.277,10.983
731,0.278,10.987
731,0.279,10.992
731,0.28,10.996
731,0.281,11
731,0.282,11.005
731,0.283,11.009
731,0.284,11.013
731,0.285,11.018
731,0.286,11.022
731,0.287,11.026
731,0.288,11.03
731,0.289,11.034
731,0.29,11.039
731,0.291,11.043
731,0.292,11.047
731,0.293,11.051
731,0.294,11.055
731,0.295,11.059
731,0.296,11.063
731,0.297,11.067
731,0.298,11.071
731,0.299,11.075
731,0.3,11.079
731,0.301,11.083
731,0.302,11.084
731,0.303,11.086
731,0.304,11.087
731,0.305,11.088
731,0.306,11.089
